,hard coal,natural gas nonpeaker,nuclear,onshore wind,hydro,solar PV,solar thermal,biomass,geothermal,petroleum,natural gas peaker,lignite,offshore wind,crude oil,heavy or residual fuel oil,municipal solid waste
CO2,0.101028807,0.058673344,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.074117322,0.058673344,0.102792861,0,0.076126641,0.079993631,0.000000000
VOC,0.000001008,0.000003555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000007986,0.000000000,0.000002965,0.000003555,0.000001008,0,0.000001610,0.000001610,0.000008361
CO,0.000092733,0.000038518,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000281866,0.000000000,0.000014824,0.000038518,0.000092733,0,0.000012107,0.000012107,0.000294648
NOx,0.000332628,0.000052147,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000103351,0.000000000,0.000182826,0.000052147,0.000332628,0,0.000378266,0.000378266,0.000057429
PM10,0.000112565,0.000112565,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000036619,0.000000000,0.000024706,0.000112565,0.000112565,0,0.000015294,0.000015294,0.000130347
PM25,0.000112565,0.000112565,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000032837,0.000000000,0.000024706,0.000112565,0.000112565,0,0.000010914,0.000010914,0.000037994
SOx,0.000382985,0.000000258,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000041977,0.000000000,0.000599272,0.000000258,0.000382985,0,0.000274259,0.000274259,0.000040531
BC,0.000000120,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000004532,0.000000000,0.000001350,0.000000000,0.000000120,0,0.000000693,0.000000693,0.000005243
OC,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000010705,0.000000000,0.000000599,0.000000000,0.000000000,0,0.000000496,0.000000496,0.000012386
CH4,0.000001058,0.000001142,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000009865,0.000000000,0.000003182,0.000001056,0.000001058,0,0.000003000,0.000003000,0.000031652
N2O,0.000001586,0.000000119,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000006107,0.000000000,0.000000638,0.000000102,0.000001586,0,0.000000600,0.000000600,0.000004220
F gases,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0.000000000
