Pollutant Emissions Intensity (g pollutant/BTU),electricity,coal,natural gas,biomass,petroleum diesel,heat,crude oil,heavy or residual fuel oil,LPG propane or butane,hydrogen
CO2,0,0.089294685,0.058673344,0,0.076581581,0,0.076126641,0.079993631,0.065208079,0
VOC,0,4.92711E-06,5.27528E-06,5.93455E-07,3.01746E-06,0,7.6205E-07,8.46173E-07,3.9701E-06,0
CO,0,0.000755972,1.03702E-05,0,1.92708E-05,0,2.20623E-05,3.36758E-05,3.28146E-06,0
NOx,0,0.000201593,5.21473E-05,6.98628E-05,0.000237674,0,0.000168766,0.00012817,6.45075E-05,5.07289E-05
PM10,0,0,2.96291E-05,0,2.47062E-05,0,2.76122E-05,3.30475E-05,3.47383E-06,0
PM25,0,0,2.96291E-05,0,2.47062E-05,0,1.7948E-05,1.51217E-05,3.47383E-06,0
SOx,0,0.000610877,2.52158E-07,4.19774E-05,0.00027959,0,0.000367517,0.000638907,0,0
BC,0,1.44543E-05,0,1.68738E-07,1.8569E-06,0,5.20491E-07,9.58717E-07,5.73182E-07,0
OC,0,2.8803E-06,0,3.98614E-07,7.65971E-07,0,3.76907E-07,6.65356E-07,1.4868E-06,0
CH4,0,0.000001246,0.00000106,0.000009865,0.000000198,0,0.000003,0.000003,0.000003,0
N2O,0,0.000000857,0.00000075,0.000006107,0.000000918,0,0.0000006,0.0000006,0.0000006,0
F gases,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
