,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
electricity (BTU),5.78E+14,5.92E+13,6.38E+13,6.67E+13,7.59E+13,7.32E+13,7.42E+13,7.27E+13,7.19E+13,7.12E+13,7.04E+13,6.91E+13,6.74E+13,6.52E+13,6.25E+13,5.94E+13,5.59E+13,5.83E+13,5.67E+13,5.49E+13,5.43E+13,5.38E+13,5.32E+13,5.28E+13,5.23E+13,5.16E+13,5.09E+13,5.00E+13,4.90E+13,4.78E+13,4.65E+13,4.52E+13,4.38E+13,4.15E+13,3.91E+13,3.67E+13,3.41E+13,3.15E+13,2.88E+13,2.59E+13,2.30E+13,2.00E+13,1.70E+13
coal (BTU),0.00E+00,2.33E+14,2.36E+14,2.25E+14,2.11E+14,1.60E+14,1.53E+14,1.52E+14,1.51E+14,1.49E+14,1.48E+14,1.47E+14,1.45E+14,1.44E+14,1.42E+14,1.40E+14,1.38E+14,1.36E+14,1.33E+14,1.30E+14,1.27E+14,1.24E+14,1.21E+14,1.19E+14,1.16E+14,1.13E+14,1.10E+14,1.08E+14,1.05E+14,1.02E+14,9.91E+13,9.63E+13,9.35E+13,9.28E+13,9.21E+13,9.14E+13,9.08E+13,9.01E+13,8.93E+13,8.84E+13,8.76E+13,8.68E+13,8.60E+13
natural gas (BTU),0.00E+00,7.10E+12,9.27E+12,1.26E+13,1.45E+13,1.55E+13,1.49E+13,1.47E+13,1.46E+13,1.45E+13,1.43E+13,1.42E+13,1.41E+13,1.39E+13,1.38E+13,1.36E+13,1.34E+13,1.32E+13,1.29E+13,1.26E+13,1.23E+13,1.20E+13,1.18E+13,1.15E+13,1.12E+13,1.10E+13,1.07E+13,1.04E+13,1.01E+13,9.87E+12,9.60E+12,9.33E+12,9.06E+12,8.99E+12,8.93E+12,8.86E+12,8.79E+12,8.73E+12,8.65E+12,8.57E+12,8.49E+12,8.41E+12,8.33E+12
petroleum diesel (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heat (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
biomass (BTU),0.00E+00,3.79E+14,3.55E+14,3.63E+14,1.93E+14,1.58E+14,1.52E+14,1.51E+14,1.49E+14,1.48E+14,1.47E+14,1.46E+14,1.44E+14,1.43E+14,1.41E+14,1.39E+14,1.37E+14,1.35E+14,1.32E+14,1.29E+14,1.26E+14,1.23E+14,1.20E+14,1.18E+14,1.15E+14,1.12E+14,1.09E+14,1.07E+14,1.04E+14,1.01E+14,9.83E+13,9.55E+13,9.28E+13,9.21E+13,9.14E+13,9.07E+13,9.00E+13,8.94E+13,8.86E+13,8.77E+13,8.69E+13,8.61E+13,8.53E+13
kerosene (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
heavy or residual fuel oil (BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
LPG propane or butane (BTU),0.00E+00,2.84E+14,2.95E+14,2.69E+14,2.94E+14,2.72E+14,2.61E+14,2.58E+14,2.56E+14,2.54E+14,2.52E+14,2.50E+14,2.47E+14,2.45E+14,2.42E+14,2.38E+14,2.35E+14,2.32E+14,2.27E+14,2.22E+14,2.17E+14,2.12E+14,2.06E+14,2.02E+14,1.97E+14,1.92E+14,1.88E+14,1.83E+14,1.78E+14,1.73E+14,1.69E+14,1.64E+14,1.59E+14,1.58E+14,1.57E+14,1.56E+14,1.54E+14,1.53E+14,1.52E+14,1.51E+14,1.49E+14,1.48E+14,1.46E+14
hydrogen(BTU),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
